,date,local_price
0,2000-04-01,2.24
1,2001-04-01,2.24
2,2002-04-01,2.35
3,2003-04-01,2.46
4,2004-05-01,2.47
5,2005-06-01,2.58
6,2006-01-01,2.67
7,2006-05-01,2.78
8,2007-01-01,2.89
9,2007-06-01,3.0
10,2008-06-01,3.21
11,2009-07-01,3.43
12,2010-01-01,3.43
13,2010-07-01,3.53
14,2011-07-01,3.64
15,2012-01-01,3.81
16,2012-07-01,3.96
17,2013-01-01,4.03
18,2013-07-01,4.18
19,2014-01-01,4.24
20,2014-07-01,4.29
21,2015-01-01,4.29
22,2015-07-01,4.29
23,2016-01-01,4.29
24,2016-07-01,4.5
25,2017-01-01,4.5
26,2017-07-01,4.5
27,2018-01-01,4.61
28,2018-07-01,4.62
29,2019-01-01,4.71
30,2019-07-09,4.71
31,2020-01-14,4.82
32,2020-07-01,4.82
33,2021-01-01,4.89
34,2021-07-01,4.93
35,2022-01-01,5.04
36,2022-07-01,5.15
37,2023-01-01,5.36
38,2023-07-01,5.58
39,2024-01-01,5.69
40,2024-07-01,5.69
